ISOPais	País	Tipo	Celebración	Descripción	Fecha	Año	Mes	Día
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2000-12-31	2000	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2001-01-01	2001	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2001-01-08	2001	1	8
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2001-03-08	2001	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2001-03-19	2001	3	19
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2001-04-08	2001	4	8
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2001-04-12	2001	4	12
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2001-04-13	2001	4	13
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2001-04-15	2001	4	15
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2001-04-23	2001	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2001-04-26	2001	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2001-04-28	2001	4	28
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2001-04-29	2001	4	29
CO	Colombia	National holiday	Labor Day / May Day	"May Day, or Labor Day, is a day off for workers in many countries around the world."	2001-05-01	2001	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2001-05-13	2001	5	13
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2001-05-15	2001	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2001-05-28	2001	5	28
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2001-06-17	2001	6	17
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2001-06-18	2001	6	18
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2001-06-25	2001	6	25
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2001-07-02	2001	7	2
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2001-07-20	2001	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2001-08-07	2001	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2001-08-20	2001	8	20
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2001-09-15	2001	9	15
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2001-10-15	2001	10	15
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2001-10-31	2001	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2001-11-05	2001	11	5
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2001-11-12	2001	11	12
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2001-11-14	2001	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2001-12-07	2001	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2001-12-08	2001	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2001-12-24	2001	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2001-12-25	2001	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2001-12-31	2001	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2002-01-01	2002	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2002-01-07	2002	1	7
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2002-03-08	2002	3	8
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2002-03-24	2002	3	24
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2002-03-25	2002	3	25
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2002-03-28	2002	3	28
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2002-03-29	2002	3	29
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2002-03-31	2002	3	31
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2002-04-23	2002	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2002-04-26	2002	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2002-04-27	2002	4	27
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2002-04-29	2002	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2002-05-01	2002	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2002-05-12	2002	5	12
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2002-05-13	2002	5	13
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2002-05-15	2002	5	15
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2002-06-03	2002	6	3
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2002-06-10	2002	6	10
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2002-06-16	2002	6	16
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2002-07-01	2002	7	1
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2002-07-20	2002	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2002-08-07	2002	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2002-08-19	2002	8	19
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2002-09-21	2002	9	21
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2002-10-14	2002	10	14
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2002-10-31	2002	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2002-11-04	2002	11	4
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2002-11-11	2002	11	11
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2002-11-14	2002	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2002-12-07	2002	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2002-12-08	2002	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2002-12-24	2002	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2002-12-25	2002	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2002-12-31	2002	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2003-01-01	2003	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2003-01-06	2003	1	6
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2003-03-08	2003	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2003-03-24	2003	3	24
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2003-04-13	2003	4	13
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2003-04-17	2003	4	17
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2003-04-18	2003	4	18
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2003-04-20	2003	4	20
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2003-04-23	2003	4	23
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2003-04-26	2003	4	26
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2003-04-26	2003	4	26
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2003-04-29	2003	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2003-05-01	2003	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2003-05-11	2003	5	11
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2003-05-15	2003	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2003-06-02	2003	6	2
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2003-06-15	2003	6	15
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2003-06-23	2003	6	23
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2003-06-30	2003	6	30
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2003-06-30	2003	6	30
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2003-07-20	2003	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2003-08-07	2003	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2003-08-18	2003	8	18
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2003-09-20	2003	9	20
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2003-10-13	2003	10	13
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2003-10-31	2003	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2003-11-03	2003	11	3
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2003-11-14	2003	11	14
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2003-11-17	2003	11	17
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2003-12-07	2003	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2003-12-08	2003	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2003-12-24	2003	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2003-12-25	2003	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2003-12-31	2003	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2004-01-01	2004	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2004-01-12	2004	1	12
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2004-03-08	2004	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2004-03-22	2004	3	22
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2004-04-04	2004	4	4
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2004-04-08	2004	4	8
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2004-04-09	2004	4	9
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2004-04-11	2004	4	11
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2004-04-23	2004	4	23
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2004-04-24	2004	4	24
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2004-04-26	2004	4	26
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2004-04-29	2004	4	29
CO	Colombia	National holiday	Labor Day / May Day	"May Day, or Labor Day, is a day off for workers in many countries around the world."	2004-05-01	2004	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2004-05-09	2004	5	9
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2004-05-15	2004	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2004-05-24	2004	5	24
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2004-06-14	2004	6	14
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2004-06-20	2004	6	20
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2004-06-21	2004	6	21
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2004-07-05	2004	7	5
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2004-07-20	2004	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2004-08-07	2004	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2004-08-16	2004	8	16
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2004-09-18	2004	9	18
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2004-10-18	2004	10	18
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2004-10-31	2004	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2004-11-01	2004	11	1
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2004-11-14	2004	11	14
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2004-11-15	2004	11	15
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2004-12-07	2004	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2004-12-08	2004	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2004-12-24	2004	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2004-12-25	2004	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2004-12-31	2004	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2005-01-01	2005	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2005-01-10	2005	1	10
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2005-03-08	2005	3	8
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2005-03-20	2005	3	20
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2005-03-21	2005	3	21
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2005-03-24	2005	3	24
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2005-03-25	2005	3	25
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2005-03-27	2005	3	27
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2005-04-23	2005	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2005-04-26	2005	4	26
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2005-04-29	2005	4	29
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2005-04-30	2005	4	30
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2005-05-01	2005	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2005-05-08	2005	5	8
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2005-05-09	2005	5	9
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2005-05-15	2005	5	15
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2005-05-30	2005	5	30
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2005-06-06	2005	6	6
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2005-06-19	2005	6	19
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2005-07-04	2005	7	4
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2005-07-20	2005	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2005-08-07	2005	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2005-08-15	2005	8	15
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2005-09-17	2005	9	17
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2005-10-17	2005	10	17
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2005-10-31	2005	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2005-11-07	2005	11	7
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2005-11-14	2005	11	14
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2005-11-14	2005	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2005-12-07	2005	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2005-12-08	2005	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2005-12-24	2005	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2005-12-25	2005	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2005-12-31	2005	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2006-01-01	2006	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2006-01-09	2006	1	9
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2006-03-08	2006	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2006-03-20	2006	3	20
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2006-04-09	2006	4	9
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2006-04-13	2006	4	13
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2006-04-14	2006	4	14
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2006-04-16	2006	4	16
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2006-04-23	2006	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2006-04-26	2006	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2006-04-29	2006	4	29
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2006-04-29	2006	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2006-05-01	2006	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2006-05-14	2006	5	14
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2006-05-15	2006	5	15
